STATUS,CLK,DOUT,D0,D1,D2,D3,D4,D5,D6,D7,A0,t
1,0,0,0,1,1,1,0,0,1,1,-0.012883,0.165300
1,0,0,0,1,1,1,0,0,1,1,-0.013205,0.165400
1,0,0,0,1,1,1,0,0,1,1,-0.013527,0.165500
1,0,0,0,1,1,1,0,0,1,1,-0.012560,0.165600
1,0,0,0,1,1,1,0,0,1,1,-0.013527,0.165700
1,0,0,0,1,1,1,0,0,1,1,-0.012883,0.165800
1,0,0,0,1,1,1,0,0,1,1,-0.013205,0.165900
1,0,0,0,1,1,1,0,0,1,1,-0.013205,0.166000
1,0,0,0,1,1,1,0,0,1,1,-0.013205,0.166100
1,0,0,0,1,1,1,0,0,1,1,-0.013849,0.166200
1,0,0,0,1,1,1,0,0,1,1,-0.013527,0.166300
1,0,0,0,1,1,1,0,0,1,1,-0.013527,0.166400
1,0,0,0,1,1,1,0,0,1,1,-0.012883,0.166500
1,0,0,0,1,1,1,0,0,1,1,-0.013205,0.166600
1,0,0,0,1,1,1,0,0,1,1,-0.012883,0.166700
1,0,0,0,1,1,1,0,0,1,1,-0.013527,0.166800
1,0,0,0,1,1,1,0,0,1,1,-0.013849,0.166900
1,0,0,0,1,1,1,0,0,1,1,-0.013527,0.167000
1,0,0,0,1,1,1,0,0,1,1,-0.013205,0.167100
1,0,0,0,1,1,1,0,0,1,1,-0.013527,0.167200
1,0,0,0,1,1,1,0,0,1,1,-0.013205,0.167300
1,0,0,0,1,1,1,0,0,1,1,-0.012883,0.167400
1,0,0,0,1,1,1,0,0,1,1,-0.013849,0.167500
1,0,0,0,1,1,1,0,0,1,1,-0.012883,0.167600
1,0,0,0,1,1,1,0,0,1,1,-0.012883,0.167700
1,0,0,0,1,1,1,0,0,1,1,-0.013527,0.167800
1,0,0,0,1,1,1,0,0,1,1,-0.012883,0.167900
1,0,0,0,1,1,1,0,0,1,1,-0.013205,0.168000
1,0,0,0,1,1,1,0,0,1,1,-0.013527,0.168100
1,0,0,0,1,1,1,0,0,1,1,-0.013205,0.168200
1,0,0,0,1,1,1,0,0,1,1,-0.013205,0.168300
1,0,0,0,1,1,1,0,0,1,1,-0.012883,0.168400
1,0,0,0,1,1,1,0,0,1,1,-0.013205,0.168500
1,0,0,0,1,1,1,0,0,1,1,-0.013527,0.168600
1,0,0,0,1,1,1,0,0,1,1,-0.013205,0.168700
1,0,0,0,1,1,1,0,0,1,1,-0.012883,0.168800
1,0,0,0,1,1,1,0,0,1,1,-0.013527,0.168900
1,0,0,0,1,1,1,0,0,1,1,-0.013527,0.169000
1,0,0,0,1,1,1,0,0,1,1,-0.013205,0.169100
1,0,0,0,1,1,1,0,0,1,1,-0.013849,0.169200
1,0,0,0,1,1,1,0,0,1,1,-0.013205,0.169300
1,0,0,0,1,1,1,0,0,1,1,-0.013527,0.169400
1,0,0,0,1,1,1,0,0,1,1,-0.013205,0.169500
1,0,0,0,1,1,1,0,0,1,1,-0.013205,0.169600
1,0,0,0,1,1,1,0,0,1,1,-0.013205,0.169700
1,0,0,0,1,1,1,0,0,1,1,-0.012883,0.169800
1,0,0,0,1,1,1,0,0,1,1,-0.013205,0.169900
1,1,1,1,0,1,1,0,0,1,1,-0.007406,0.170000
1,1,1,1,0,1,1,0,0,1,1,-0.007406,0.170100
1,1,1,1,0,1,1,0,0,1,1,-0.007084,0.170200
1,1,1,1,0,1,1,0,0,1,1,-0.007084,0.170300
1,1,1,1,0,1,1,0,0,1,1,-0.007406,0.170400
1,1,1,1,0,1,1,0,0,1,1,-0.007084,0.170500
1,1,1,1,0,1,1,0,0,1,1,-0.007084,0.170600
1,1,1,1,0,1,1,0,0,1,1,-0.007728,0.170700
1,1,1,1,0,1,1,0,0,1,1,-0.007406,0.170800
1,1,1,1,0,1,1,0,0,1,1,-0.007084,0.170900
1,1,1,1,0,1,1,0,0,1,1,-0.007084,0.171000
1,1,1,1,0,1,1,0,0,1,1,-0.007728,0.171100
1,1,1,1,0,1,1,0,0,1,1,-0.007406,0.171200
1,1,1,1,0,1,1,0,0,1,1,-0.007406,0.171300
1,1,1,1,0,1,1,0,0,1,1,-0.007406,0.171400
1,1,1,1,0,1,1,0,0,1,1,-0.006762,0.171500
1,1,1,1,0,1,1,0,0,1,1,-0.007728,0.171600
1,1,1,1,0,1,1,0,0,1,1,-0.007084,0.171700
1,1,1,1,0,1,1,0,0,1,1,-0.007084,0.171800
1,1,1,1,0,1,1,0,0,1,1,-0.007728,0.171900
1,1,1,1,0,1,1,0,0,1,1,-0.007406,0.172000
